Epoch,LR,Weight_Decay,Time(s),Tr_Loss,Tr_MSE_Dev,Tr_PCC_Dev,Tr_SCC_Dev,Tr_MSE_Hk,Tr_PCC_Hk,Tr_SCC_Hk,Val_Loss,Val_MSE_Dev,Val_PCC_Dev,Val_SCC_Dev,Val_MSE_Hk,Val_PCC_Hk,Val_SCC_Hk
1,0.0005,0.002,67.87150025367737,3.014871182173267,1.5245667695999146,0.5834745,0.560345779864909,1.4903043508529663,0.66842103,0.5028407360572938,2.7218677618305525,1.3272043466567993,0.65131545,0.6240855242600205,1.3946635723114014,0.72954667,0.5692054509679737
2,0.0005,0.001999506807085549,67.47175312042236,2.5350621278997107,1.273559808731079,0.6700393,0.6333786437621394,1.2615025043487549,0.72917855,0.560395285622916,2.439560274658222,1.2181434631347656,0.689229,0.6522467510106432,1.2214168310165405,0.7579802,0.6031559984013267
3,0.0005,0.0019980277150640573,67.3051905632019,2.319846575544679,1.164786696434021,0.70428336,0.6608361638023064,1.155059814453125,0.75578445,0.5860378060135362,2.391545602386151,1.1952993869781494,0.6971891,0.6570986230095196,1.1962461471557617,0.7636368,0.6101713493649348
4,0.0005,0.0019955641836207783,67.24835729598999,2.149079667288469,1.0804554224014282,0.72972775,0.6808489250095645,1.0686242580413818,0.77672243,0.6064665131943136,2.3648041469521317,1.1823244094848633,0.69926727,0.6607391541126869,1.182479739189148,0.7675278,0.6125739173773077
5,0.0005,0.001992118643963821,67.2375009059906,1.996101182048598,1.0016813278198242,0.7527205,0.6997455894759437,0.9944199323654175,0.79425716,0.626555789304644,2.3294112477127427,1.1593986749649048,0.70492756,0.6647010397803462,1.1700127124786377,0.7740345,0.6180647034966026
6,0.0005,0.0019876944964248404,67.2298526763916,1.8588380652399283,0.9282016754150391,0.7735523,0.7182654404029087,0.9306363463401794,0.8090252,0.6459960825707353,2.3814582431319313,1.1963837146759033,0.69494045,0.6560792583525322,1.1850745677947998,0.7659539,0.6153809260285084
7,0.0005,0.0019822961071033246,67.4545578956604,1.7303228271098332,0.8606603741645813,0.79221773,0.7370058075557726,0.8696625232696533,0.8228959,0.6681338888674264,2.3567946310962453,1.1913224458694458,0.6981358,0.6598925614894925,1.1654722690582275,0.77009386,0.616180127613949
8,0.0005,0.001975928803557778,67.29070997238159,1.608605563814832,0.7977674603462219,0.8092102,0.7556267582824558,0.8108381032943726,0.8360592,0.6911846004510008,2.3816278541326112,1.1969965696334839,0.6961912,0.6543251287881656,1.18463134765625,0.7673144,0.6107317790904946
9,0.0005,0.001968598869548067,67.37699508666992,1.4886875454267732,0.7382087111473083,0.8249788,0.7751234884994133,0.7504788637161255,0.8493538,0.7162381827141434,2.4882233252982537,1.2417200803756714,0.68445766,0.6429384831502657,1.2465033531188965,0.75341266,0.5926763992737096
10,0.0005,0.0019603135388341045,67.34559273719788,1.3678022720611447,0.6811894178390503,0.83979785,0.7943192003962022,0.6866128444671631,0.8631978,0.7423546414539715,2.4986349308464306,1.2395939826965332,0.6837673,0.6432282094912455,1.2590409517288208,0.7505362,0.588429696210514
11,0.0005,0.001951080988037006,67.44408082962036,1.246385824785345,0.6236634254455566,0.8544893,0.8147361929227172,0.6227223873138428,0.8768289,0.7694406335176859,2.5228295592330845,1.2598202228546143,0.6760772,0.6337862940758032,1.2630093097686768,0.7496404,0.572099756286475
12,0.0005,0.0019409103285697483,67.2240891456604,1.128953758944908,0.5687623620033264,0.8682779,0.833904588698176,0.5601913928985596,0.8899673,0.7947977093389288,2.6268363009893103,1.327533483505249,0.6608482,0.6169896943524754,1.2993026971817017,0.7431265,0.5702392294220319
13,0.0005,0.001929811597645307,67.35986948013306,1.016130855580007,0.5133030414581299,0.8819878,0.8519992767753046,0.5028278827667236,0.90185183,0.817703005576487,2.6647768099613014,1.3315433263778687,0.65611136,0.6113356307054603,1.3332334756851196,0.73537016,0.5691890589550873
