Epoch,LR,Time(s),Tr_Loss,Tr_MSE_Dev,Tr_PCC_Dev,Tr_SCC_Dev,Tr_MSE_Hk,Tr_PCC_Hk,Tr_SCC_Hk,Val_Loss,Val_MSE_Dev,Val_PCC_Dev,Val_SCC_Dev,Val_MSE_Hk,Val_PCC_Hk,Val_SCC_Hk
1,1e-06,90.44287633895874,2.712983423354937,2.8984756469726562,0.045516632,0.055289391273575725,3.1840133666992188,0.04139588,0.052696731694858494,2.653284841504096,2.652055263519287,0.08488673,0.08709501037256961,3.2569544315338135,0.061861735,0.08620027298131161
2,5.09e-05,89.17195630073547,2.4959768204011326,2.7029600143432617,0.07223984,0.08220748774587737,3.0065391063690186,0.056942612,0.08113749399711276,2.4280261334275153,2.652351140975952,0.10461507,0.11713900616766779,3.1155858039855957,0.07061096,0.10404659708669639
3,0.0001008,89.58726215362549,2.375707679268313,2.7422969341278076,0.111735955,0.12257536035873666,2.9898295402526855,0.073291436,0.09572003168169095,2.3262928592944223,2.6542279720306396,0.113952994,0.12424498110937579,3.145582437515259,0.09294249,0.11906543257105388
4,0.0001507,89.0175290107727,2.2419880860262467,2.688666343688965,0.11918673,0.13044084016049035,3.020843744277954,0.08011884,0.10577801899662012,2.1890215161107047,2.5697340965270996,0.1279842,0.13959780792755505,3.149761199951172,0.09354025,0.12850610838984744
5,0.00020060000000000002,89.05501532554626,2.114778877757791,2.6490259170532227,0.12875468,0.13887855829527632,3.0066542625427246,0.08830688,0.10857044714798318,2.075281882550524,2.579468011856079,0.13850221,0.1503139415014517,3.1474103927612305,0.09928121,0.12581154382992776
6,0.00025050000000000007,89.45624375343323,2.0148776394636223,2.6281588077545166,0.13651174,0.1464808608920303,2.9984514713287354,0.09063291,0.11310629899674296,1.9734506527837463,2.560947895050049,0.14444296,0.15360593464740796,3.1519453525543213,0.09638658,0.12076055596882111
7,0.0003004000000000001,89.35272073745728,1.928420642663649,2.6086626052856445,0.14562726,0.15514104662025716,2.9817721843719482,0.098258585,0.12212089105885787,1.8982281137929047,2.542858839035034,0.16197377,0.17023007395299786,3.132122755050659,0.10813634,0.13673365688270023
8,0.0003503000000000001,89.41436982154846,1.8282135154920898,2.5943491458892822,0.14989045,0.15920691874996726,2.9775774478912354,0.09519636,0.1197262489025868,1.7809415081083877,2.5093348026275635,0.16006643,0.1687178712207499,3.1080338954925537,0.10884486,0.13582325894242758
9,0.00040020000000000013,89.73111987113953,1.7333338462979524,2.5840694904327393,0.15288067,0.160499563212092,2.964883327484131,0.100367844,0.12193532389828375,1.7069561655896914,2.5237932205200195,0.1648073,0.17162640457035416,3.1022963523864746,0.11563447,0.13711610048502937
10,0.0004501000000000002,89.56647276878357,1.6464971328546425,2.5812110900878906,0.15279223,0.16035943156535687,2.965700626373291,0.09871853,0.12039308873254562,1.6126286274816182,2.5207927227020264,0.15559672,0.16284025333241314,3.1052193641662598,0.11123647,0.13671296124411714
11,0.0005,89.56822276115417,1.5534278804433252,2.579564332962036,0.15334792,0.16113840017278427,2.960681915283203,0.099136084,0.12037391548409687,1.523580685289499,2.5341174602508545,0.14857735,0.1639543538527423,3.1013433933258057,0.114608906,0.13620845078763227
12,0.0004998480113412644,89.11532402038574,1.4683963350656386,2.575772523880005,0.15624486,0.16403620919911246,2.954314947128296,0.10245547,0.1241138303794683,1.4546550706833314,2.5454564094543457,0.15602733,0.16298109866051755,3.128209352493286,0.10376473,0.12645858956912873
13,0.0004993922305398261,89.49268651008606,1.4261655203969494,2.5697686672210693,0.15899327,0.16723094595473434,2.9529125690460205,0.105208196,0.1260617848739327,1.430203367966221,2.5307443141937256,0.15394512,0.16217066208292932,3.115896463394165,0.10379222,0.13041921857753144
14,0.0004986332128943842,89.8294746875763,2.26003715411514,1.273632287979126,0.6784116,0.6589735584490439,1.6417796611785889,0.6387099,0.5748590858577627,2.092111665255805,0.8254373073577881,0.8081076,0.8134069475061307,1.2191309928894043,0.76720285,0.7353088820150264
15,0.0004975718831510218,89.98795294761658,2.70336854997636,1.0874285697937012,0.73124826,0.7243763652552282,1.12714421749115,0.76394975,0.6965448595678516,2.2715760029916665,0.7064360976219177,0.83520764,0.8344121409170717,0.5761798620223999,0.8971765,0.8532410520022925
16,0.0004962095343765459,89.69516897201538,3.038208899486702,0.970591127872467,0.7634864,0.7602126320675363,0.8808121085166931,0.8213349,0.7589907456901607,2.5292537632792462,0.5387411713600159,0.87575686,0.8844365843768167,0.5425413250923157,0.9066875,0.8702507866827309
17,0.0004945478263830845,89.02483487129211,3.3355591291839564,0.8555436134338379,0.7946068,0.7961323546527713,0.7737564444541931,0.844841,0.7833423170931109,2.5458696743229616,0.4209899604320526,0.9048407,0.9119162090105205,0.3277573883533478,0.9414767,0.9193832470998546
18,0.000492588783705861,89.41811323165894,3.1720286336761463,0.772757887840271,0.8165502,0.8243298275881934,0.6971009969711304,0.8612652,0.8086692172910226,2.6196409333242934,0.4421953856945038,0.90923524,0.9171371491188547,0.34207069873809814,0.9512938,0.9340666751031376
